===== RECEIVED DATA FOR SYMBOL: EURUSD =====
         open      high       low     close    volume  day_of_week      hour    minute       day  timeframe
178  0.016743  0.021231  0.012048  0.034596  0.018362     0.333333  0.869565  0.000000  1.000000       0.25
179  0.011720  0.023355  0.005522  0.019357  0.023010     0.333333  0.826087  0.508475  1.000000       0.25
180  0.024278  0.027955  0.021084  0.011532  0.016655     0.333333  0.826087  0.000000  1.000000       0.25
181  0.033487  0.038570  0.022088  0.023888  0.018592     0.333333  0.782609  0.508475  1.000000       0.25
182  0.042696  0.050248  0.019076  0.032949  0.028807     0.333333  0.782609  0.000000  1.000000       0.25
183  0.128506  0.103326  0.048193  0.042010  0.035828     0.333333  0.739130  0.508475  1.000000       0.25
184  0.131017  0.148974  0.136044  0.126442  0.031095     0.333333  0.739130  0.000000  1.000000       0.25
185  0.151946  0.136943  0.159137  0.128913  0.027791     0.333333  0.695652  0.508475  1.000000       0.25
186  0.203014  0.166667  0.175201  0.149506  0.021484     0.333333  0.695652  0.000000  1.000000       0.25
187  0.192968  0.177282  0.225402  0.199341  0.018604     0.333333  0.652174  0.508475  1.000000       0.25
188  0.202177  0.175513  0.203313  0.189868  0.019754     0.333333  0.652174  0.000000  1.000000       0.25
189  0.245291  0.207360  0.241968  0.198517  0.017115     0.333333  0.608696  0.508475  1.000000       0.25
190  0.275429  0.238146  0.301205  0.241351  0.013641     0.333333  0.608696  0.000000  1.000000       0.25
191  0.290080  0.238854  0.311747  0.271005  0.012273     0.333333  0.565217  0.508475  1.000000       0.25
192  0.285894  0.255485  0.349398  0.285420  0.011656     0.333333  0.565217  0.000000  1.000000       0.25
193  0.275848  0.257962  0.325803  0.281301  0.015747     0.333333  0.521739  0.508475  1.000000       0.25
194  0.309753  0.254069  0.311747  0.271417  0.019511     0.333333  0.521739  0.000000  1.000000       0.25
195  0.289661  0.273531  0.351908  0.304778  0.017551     0.333333  0.478261  0.508475  1.000000       0.25
196  0.308916  0.253008  0.344378  0.285008  0.014222     0.333333  0.478261  0.000000  1.000000       0.25
197  0.261616  0.257962  0.321285  0.303542  0.015820     0.333333  0.434783  0.508475  1.000000       0.25
198  0.281708  0.239207  0.314759  0.257414  0.014609     0.333333  0.434783  0.000000  1.000000       0.25
199  0.264546  0.233192  0.318775  0.277183  0.012358     0.333333  0.391304  0.508475  1.000000       0.25
200  0.247802  0.218330  0.297691  0.260297  0.010373     0.333333  0.391304  0.000000  1.000000       0.25
201  0.237756  0.208068  0.284137  0.243822  0.007674     0.333333  0.347826  0.508475  1.000000       0.25
202  0.248221  0.205591  0.292671  0.233937  0.005701     0.333333  0.347826  0.000000  1.000000       0.25
203  0.259523  0.214084  0.297691  0.244234  0.006318     0.333333  0.304348  0.508475  1.000000       0.25
204  0.249895  0.212314  0.306225  0.255354  0.003583     0.333333  0.304348  0.000000  1.000000       0.25
205  0.254081  0.214084  0.304719  0.245881  0.005362     0.333333  0.260870  0.508475  1.000000       0.25
206  0.267895  0.219391  0.311747  0.249588  0.004212     0.333333  0.260870  0.000000  1.000000       0.25
207  0.277522  0.225761  0.322289  0.263591  0.005471     0.333333  0.217391  0.508475  1.000000       0.25
208  0.284638  0.233900  0.332831  0.273064  0.007456     0.333333  0.217391  0.000000  1.000000       0.25
209  0.270825  0.233192  0.328313  0.280066  0.007020     0.333333  0.173913  0.508475  1.000000       0.25
210  0.282126  0.239561  0.325301  0.266474  0.009078     0.333333  0.173913  0.000000  1.000000       0.25
211  0.276266  0.234253  0.321285  0.277595  0.013375     0.333333  0.130435  0.508475  1.000000       0.25
212  0.246965  0.227884  0.297189  0.271829  0.007371     0.333333  0.130435  0.000000  1.000000       0.25
213  0.242779  0.200283  0.271084  0.242998  0.007057     0.333333  0.086957  0.508475  1.000000       0.25
214  0.255756  0.208068  0.296185  0.238468  0.004975     0.333333  0.086957  0.000000  1.000000       0.25
215  0.246128  0.208422  0.302711  0.251647  0.004031     0.333333  0.043478  0.508475  1.000000       0.25
216  0.249058  0.205237  0.280622  0.242175  0.004902     0.333333  0.043478  0.000000  1.000000       0.25
217  0.237338  0.203822  0.289157  0.245058  0.004515     0.333333  0.000000  0.508475  1.000000       0.25
218  0.260360  0.210899  0.255522  0.233526  0.008279     0.333333  0.000000  0.000000  1.000000       0.25
219  0.231478  0.210899  0.285141  0.254530  0.004805     0.166667  1.000000  0.508475  0.967742       0.25
220  0.226873  0.194621  0.277610  0.227759  0.005471     0.166667  1.000000  0.000000  0.967742       0.25
221  0.242361  0.201699  0.279116  0.223229  0.010555     0.166667  0.956522  0.508475  0.967742       0.25
222  0.218083  0.205237  0.262048  0.238468  0.011329     0.166667  0.956522  0.000000  0.967742       0.25
223  0.241105  0.201345  0.266064  0.214168  0.010555     0.166667  0.913043  0.508475  0.967742       0.25
224  0.250733  0.205945  0.276104  0.237232  0.011051     0.166667  0.913043  0.000000  0.967742       0.25
225  0.219757  0.212668  0.267068  0.246705  0.013084     0.166667  0.869565  0.508475  0.967742       0.25
226  0.207618  0.185775  0.254518  0.216227  0.011462     0.166667  0.869565  0.000000  0.967742       0.25
227  0.196316  0.170913  0.216867  0.204283  0.013568     0.166667  0.826087  0.508475  0.967742       0.25
228  0.172876  0.164190  0.208333  0.193163  0.018192     0.166667  0.826087  0.000000  0.967742       0.25
229  0.144412  0.156051  0.179217  0.170099  0.018350     0.166667  0.782609  0.508475  0.967742       0.25
230  0.150272  0.147205  0.159137  0.142092  0.026931     0.166667  0.782609  0.000000  0.967742       0.25
231  0.195479  0.171975  0.144076  0.147446  0.031555     0.166667  0.739130  0.508475  0.967742       0.25
232  0.254500  0.207360  0.220382  0.192751  0.028372     0.166667  0.739130  0.000000  0.967742       0.25
233  0.235245  0.218330  0.214357  0.249588  0.028759     0.166667  0.695652  0.508475  0.967742       0.25
234  0.182503  0.215499  0.185241  0.231466  0.033504     0.166667  0.695652  0.000000  0.967742       0.25
235  0.389703  0.321302  0.211847  0.178336  0.034448     0.166667  0.652174  0.508475  0.967742       0.25
236  0.439096  0.371196  0.467369  0.383443  0.017393     0.166667  0.652174  0.000000  0.967742       0.25
237  0.420260  0.370134  0.491466  0.432043  0.014743     0.166667  0.608696  0.508475  0.967742       0.25
238  0.432817  0.393489  0.481928  0.413509  0.016764     0.166667  0.608696  0.000000  0.967742       0.25
239  0.427375  0.371550  0.511044  0.425865  0.013036     0.166667  0.565217  0.508475  0.967742       0.25
240  0.391377  0.363057  0.470382  0.422570  0.012842     0.166667  0.565217  0.000000  0.967742       0.25
241  0.383005  0.343241  0.462349  0.385091  0.012322     0.166667  0.521739  0.508475  0.967742       0.25
242  0.373797  0.342887  0.449297  0.376853  0.018350     0.166667  0.521739  0.000000  0.967742       0.25
243  0.308079  0.326256  0.370984  0.367792  0.014670     0.166667  0.478261  0.508475  0.967742       0.25
244  0.285894  0.253008  0.340361  0.303130  0.015263     0.166667  0.478261  0.000000  0.967742       0.25
245  0.314357  0.267870  0.332831  0.281301  0.012043     0.166667  0.434783  0.508475  0.967742       0.25
246  0.344077  0.292640  0.377510  0.308896  0.018350     0.166667  0.434783  0.000000  0.967742       0.25
247  0.337798  0.289101  0.391064  0.338550  0.012540     0.166667  0.391304  0.508475  0.967742       0.25
248  0.352449  0.291224  0.409639  0.332372  0.011002     0.166667  0.391304  0.000000  0.967742       0.25
249  0.354123  0.298655  0.422691  0.346787  0.006004     0.166667  0.347826  0.508475  0.967742       0.25
250  0.337798  0.295824  0.412149  0.348435  0.006863     0.166667  0.347826  0.000000  0.967742       0.25
251  0.337798  0.282024  0.400602  0.332372  0.005205     0.166667  0.304348  0.508475  0.967742       0.25
252  0.338217  0.279547  0.410141  0.332372  0.003462     0.166667  0.304348  0.000000  0.967742       0.25
253  0.338217  0.279547  0.410643  0.332784  0.003776     0.166667  0.260870  0.508475  0.967742       0.25
254  0.335287  0.277424  0.407631  0.332784  0.003776     0.166667  0.260870  0.000000  0.967742       0.25
255  0.329845  0.277070  0.400602  0.329901  0.003776     0.166667  0.217391  0.508475  0.967742       0.25
256  0.339473  0.278132  0.390562  0.324547  0.005265     0.166667  0.217391  0.000000  0.967742       0.25
257  0.340728  0.284501  0.408635  0.334020  0.004757     0.166667  0.173913  0.508475  0.967742       0.25
258  0.338217  0.282024  0.406124  0.335255  0.004563     0.166667  0.173913  0.000000  0.967742       0.25
259  0.345751  0.296178  0.411145  0.332784  0.004926     0.166667  0.130435  0.508475  0.967742       0.25
260  0.347007  0.290163  0.413655  0.340198  0.006657     0.166667  0.130435  0.000000  0.967742       0.25
261  0.354123  0.297594  0.414659  0.341433  0.005701     0.166667  0.086957  0.508475  0.967742       0.25
262  0.355379  0.295471  0.415663  0.348435  0.005423     0.166667  0.086957  0.000000  0.967742       0.25
263  0.366262  0.300425  0.426707  0.349671  0.004478     0.166667  0.043478  0.508475  0.967742       0.25
264  0.360402  0.307502  0.420683  0.360379  0.006076     0.166667  0.043478  0.000000  0.967742       0.25
